"Genetically engineered (GE) upland cotton varieties by State and United States, 2000-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Insect-resistant (Bt) only                                           ,,,,,,,,,,,,,,,,,,Herbicide-tolerant only                                           ,,,,,,,,,,,,,,,,,,,,,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,
 ,Percent of upland cotton planted,,,,,,,,,,,,,,,,,,Percent of upland cotton planted ,,,,,,,,,,,,,,,,,,,,,
Alabama 2/,,,,,,10,10,10,18,13,11,18,17,12,9,4,6,2,,,,,,28,25,25,15,18,7,4,11,4,6,3,2,3,,,,
Arkansas,33,21,27,24,34,42,28,32,30,28,20,18,10,22,13,7,7,7,23,29,37,25,15,12,21,16,4,5,2,7,12,13,12,12,8,13,,,,
California,3,11,6,9,6,8,9,4,7,8,19,9,21,9,15,10,3,2,17,27,26,27,39,40,40,51,45,54,56,46,43,40,28,35,37,27,,,,
Georgia,18,13,8,14,13,29,19,17,19,20,20,18,13,5,3,1,1,4,32,43,55,32,23,11,13,10,5,7,8,6,7,10,4,5,5,4,,,,
Louisiana,37,30,27,30,26,21,13,17,19,20,19,26,24,19,4,5,10,4,13,14,9,15,7,10,13,11,6,10,3,6,9,16,11,7,2,5,,,,
Mississippi,29,10,19,15,16,14,7,16,19,14,12,15,9,2,2,1,3,8,13,15,22,16,23,23,22,19,13,16,9,7,7,12,11,11,2,3,,,,
Missouri 2/,,,,,,20,32,13,12,18,22,22,33,6,21,6,12,5,,,,,,59,40,63,68,29,47,47,32,54,27,36,34,36,,,,
North Carolina,11,9,14,16,18,17,19,13,19,15,14,10,16,2,3,1,2,3,29,37,27,29,27,24,19,16,14,13,7,7,8,5,5,7,1,4,,,,
Tennessee 2/,,,,,,13,16,10,10,7,8,9,7,4,2,1,1,2,,,,,,8,10,17,14,10,8,6,6,5,5,1,3,3,,,,
Texas,7,8,7,8,10,14,18,16,16,15,13,18,11,8,4,5,4,5,33,35,40,39,40,35,34,36,31,31,27,19,22,17,15,11,11,13,,,,
Other States 1/,17,18,19,18,22,18,21,27,22,24,24,21,24,5,3,10,3,3,21,33,35,32,24,24,24,20,20,17,16,16,11,9,8,8,9,12,,,,
U.S.,15,13,13,14,16,18,18,17,18,17,15,17,14,8,5,5,4,5,26,32,36,32,30,27,26,28,23,23,20,15,17,15,12,10,9,11,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stacked gene varieties            ,,,,,,,,,,,,,,,,,,All GE varieties 3/,,,,,,,,,,,,,,,,,,,,,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,
 ,Percent of upland cotton planted,,,,,,,,,,,,,,,,,,Percent of upland cotton planted,,,,,,,,,,,,,,,,,,,,,
Alabama 2/,,,,,,54,60,60,65,60,76,75,70,82,83,90,90,93,.,.,.,.,.,92,95,95,98,91,94,97,98,98,98,97,98,98,,,,
Arkansas,14,28,26,46,45,42,45,47,64,64,76,73,77,63,74,80,84,79,70,78,90,95,94,96,94,95,98,97,98,98,99,98,99,99,99,99,,,,
California,4,2,1,3,7,5,8,6,8,11,8,25,16,28,34,26,38,43,24,40,33,39,52,53,57,61,60,73,83,80,80,77,77,71,78,72,,,,
Georgia,32,29,30,47,58,55,64,68,73,70,69,72,78,83,92,92,93,91,82,85,93,93,94,95,96,95,97,97,97,96,98,98,99,98,99,99,,,,
Louisiana,30,47,49,46,60,64,68,68,73,63,73,65,64,63,84,87,86,90,80,91,85,91,93,95,94,96,98,93,95,97,97,98,99,99,98,99,,,,
Mississippi,36,61,47,61,58,59,69,62,66,63,68,76,82,85,86,87,94,88,78,86,88,92,97,96,98,97,98,93,89,98,98,99,99,99,99,99,,,,
Missouri 2/,,,,,,16,25,23,19,51,29,29,33,38,48,56,48,58,,,,,,95,97,99,99,98,98,98,98,98,96,98,94,99,,,,
North Carolina,36,38,45,48,46,54,60,64,62,68,76,79,72,87,89,89,93,89,76,84,86,93,91,95,98,93,95,96,97,96,96,94,97,97,96,96,,,,
Tennessee 2/,,,,,,75,67,71,73,80,82,83,84,87,92,97,94,94,,,,,,96,93,98,97,97,98,98,97,96,99,99,98,99,,,,
Texas,6,6,4,6,8,14,18,28,31,35,51,49,58,60,74,75,75,76,46,49,51,53,58,63,70,80,78,81,91,86,91,85,93,91,90,94,,,,
Other States 1/,36,33,32,38,45,46,45,42,48,49,52,57,60,81,87,78,85,82,74,84,86,88,91,88,90,89,90,90,92,94,95,95,98,96,97,97,,,,
U.S.,20,24,22,27,30,34,39,42,45,48,58,58,63,67,79,79,80,80,61,69,71,73,76,79,83,87,86,88,93,90,94,90,96,94,93,96,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Includes other States in the cotton estimating program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/ Estimates published individually beginning in 2005.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/ Values may not equal sum of components due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service using data from USDA, National Agricultural Statistics Service, June Agricultural Survey as published in the NASS report Acreage (various years), available on the NASS website:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://usda.mannlib.cornell.edu/MannUsda/viewDocumentInfo.do?documentID=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
